Name,Diagnosis
cell_0,1
cell_1,1
cell_2,1
cell_3,1
cell_4,1
cell_5,1
cell_6,1
cell_7,1
cell_8,1
cell_9,1
cell_10,1
cell_11,1
cell_12,1
cell_13,1
cell_14,1
cell_15,1
cell_16,1
cell_17,1
cell_18,1
cell_19,1
cell_20,1
cell_21,1
cell_22,1
cell_23,1
cell_24,1
cell_25,1
cell_26,1
cell_27,1
cell_28,1
cell_29,1
cell_30,1
cell_31,1
cell_32,1
cell_33,1
cell_34,1
cell_35,1
cell_36,1
cell_37,1
cell_38,1
cell_39,1
cell_40,1
cell_41,1
cell_42,1
cell_43,1
cell_44,1
cell_45,1
cell_46,1
cell_47,1
cell_48,1
cell_49,1
cell_50,1
cell_51,1
cell_52,1
cell_53,1
cell_54,1
cell_55,1
cell_56,1
cell_57,1
cell_58,1
cell_59,1
cell_60,1
cell_61,1
cell_62,1
cell_63,1
cell_64,1
cell_65,1
cell_66,1
cell_67,1
cell_68,1
cell_69,1
cell_70,1
cell_71,1
cell_72,1
cell_73,1
cell_74,1
cell_75,1
cell_76,1
cell_77,1
cell_78,1
cell_79,1
cell_80,1
cell_81,1
cell_82,1
cell_83,1
cell_84,1
cell_85,1
cell_86,1
cell_87,1
cell_88,1
cell_89,1
cell_90,1
cell_91,1
cell_92,1
cell_93,1
cell_94,1
cell_95,1
cell_96,1
cell_97,1
cell_98,1
cell_99,1
cell_100,1
cell_101,1
cell_102,1
cell_103,1
cell_104,1
cell_105,1
cell_106,1
cell_107,1
cell_108,1
cell_109,1
cell_110,1
cell_111,1
cell_112,1
cell_113,1
cell_114,1
cell_115,1
cell_116,1
cell_117,1
cell_118,1
cell_119,1
cell_120,1
cell_121,1
cell_122,1
cell_123,1
cell_124,1
cell_125,1
cell_126,1
cell_127,1
cell_128,1
cell_129,1
cell_130,1
cell_131,1
cell_132,1
cell_133,1
cell_134,1
cell_135,1
cell_136,1
cell_137,1
cell_138,1
cell_139,1
cell_140,1
cell_141,1
cell_142,1
cell_143,1
cell_144,1
cell_145,1
cell_146,1
cell_147,1
cell_148,1
cell_149,1
cell_150,1
cell_151,1
cell_152,1
cell_153,1
cell_154,1
cell_155,1
cell_156,1
cell_157,1
cell_158,1
cell_159,1
cell_160,1
cell_161,1
cell_162,1
cell_163,1
cell_164,1
cell_165,1
cell_166,1
cell_167,1
cell_168,1
cell_169,1
cell_170,1
cell_171,1
cell_172,1
cell_173,1
cell_174,1
cell_175,1
cell_176,1
cell_177,1
cell_178,1
cell_179,1
cell_180,1
cell_181,1
cell_182,1
cell_183,1
cell_184,1
cell_185,1
cell_186,1
cell_187,1
cell_188,1
cell_189,1
cell_190,1
